md5id,date,stationid,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h
00037ab50106cf22d8ca6e63c1bd55e0,"2016-01-02 21:00",036d6fbe5d08c65cfede3e4837892354,500.0,46.0,41.0,167.0,116.0,6.8,4.092,4.0,12.0,6.0,8.0,554.0,316.0,499.0,260.0
00037dab59c2f1b9c74bae800c0ef250,"2015-06-18 03:00",7caee61a251588045401c9a95a288519,56.0,0.0,0.0,0.0,0.0,0.337,0.335,31.0,148.0,64.0,148.0,61.0,44.0,13.0,21.0
00037fa7a13f507ede352d8acac1f0f7,"2013-05-22 18:00",1247eeb78f397abc498abed536e33be0,121.0,31.0,NULL,41.0,NULL,1.817,NULL,194.0,NULL,58.375,NULL,158.0,NULL,77.0,NULL
000385fc0ed101698142e9a38f8202ed,"2014-09-25 16:00",284419e8e940dd1b76d00c9f45e721cb,66.0,9.0,14.0,53.0,60.0,0.735,1.044,138.0,138.0,84.0,133.0,81.0,117.0,47.0,109.0
00038ae1553db8f4f45e5e6fa49dde65,"2013-07-23 00:00",839e8a188e737ca5a630476318626ffc,76.0,13.0,NULL,92.0,NULL,0.688,NULL,33.0,NULL,42.5,NULL,102.0,NULL,37.0,NULL
00038b576e88339a3e7fb8fc4a1030d7,"2015-06-17 03:00",7127ca83c9b6c999942291bb1d716df6,160.0,49.0,35.0,68.0,56.0,3.828,2.656,105.0,310.0,169.0,263.0,170.0,132.0,122.0,89.0
000391a34936c3be73d35e7935b942d8,"2015-12-25 01:00",acb83ff46f72cd86624f9bfd1a588749,404.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,NULL,0.0
000391cf06b33bc4889d8f781bc03f0e,"2013-12-23 16:00",e8e4969f2d998cc49138a6e30321757f,202.0,182.0,NULL,101.0,NULL,6.292,NULL,19.0,NULL,15.125,NULL,240.0,NULL,152.0,NULL
000394802aed723b8c78df1707d82215,"2014-11-02 05:00",27ad149206179c8beb411d798372b6bb,22.0,2.0,4.0,8.0,29.0,0.2,0.535,70.0,72.0,66.0,66.0,5.0,35.0,4.0,24.0
00039e3bfd5be8bb4d11334297e3bad7,"2015-09-28 05:00",5cb9d1d0e47582e4a98fd216688e5d32,65.0,2.0,NULL,40.0,NULL,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.0
0003ab18b683baee35f7974894e74a15,"2015-08-30 10:00",22664c8a472652c75dbf89592c4d9926,54.0,28.0,36.0,47.0,23.0,1.198,0.799,13.0,53.0,18.0,46.0,47.0,47.0,38.0,32.0
0003b2cb179f2d70fbdac51b9e14fe72,"2014-01-13 11:00",afd5e8d370fa82c2d0c3fb22fe9e5829,54.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.0,48.0,NULL,39.0
0003b9040d9d19688d0f2813fc08b1b5,"2015-04-09 00:00",9960febe64e45395c3577a69146c5328,95.0,37.0,28.0,80.0,75.0,2.435,2.414,20.0,91.0,47.0,78.0,113.0,134.0,71.0,82.0
0003bdfcd51add256b0b095dbb2ceacf,"2013-01-28 20:00",21a97f30e1aec19a35747484ec659a6e,175.0,168.0,NULL,113.0,NULL,4.123,NULL,50.0,NULL,50.0,NULL,279.0,NULL,204.0,NULL
0003bfc18f38af59a24c28852fd0980e,"2016-03-03 08:00",3437a40c36d7e95dfd493e8319a5738a,100.0,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,0.0,0.0
0003caac4a3c01af804e107a90751457,"2015-07-21 21:00",5cf6e358eb20ebdffea57200c74fc231,114.0,NULL,NULL,11.0,NULL,0.2,NULL,134.0,NULL,NULL,NULL,NULL,NULL,NULL,86.0
0003de4c582598993742fe195aa0a472,"2015-10-19 18:00",96434ebae0cd14bddcedf3babcb3eaa2,145.0,35.0,33.0,58.0,48.0,1.19,1.088,94.0,121.0,82.0,82.0,176.0,101.0,111.0,46.0
0003e16eb22880c765b4b2570f3738fd,"2015-08-14 12:00",16050940a9a160a54b070e6f0f85fe4e,49.0,7.0,12.0,36.0,23.0,0.544,0.528,0.0,113.0,33.0,97.0,49.0,125.0,25.0,63.0
0003e991e76ac996623406d660064507,"2015-08-19 02:00",2640526b36025c9a3fc6e8a9e7ccd5d4,48.0,5.0,14.0,30.0,46.0,0.969,1.151,62.0,106.0,73.0,86.0,45.0,131.0,33.0,83.0
0003f35799ae71a5c20e32ad26d9089c,"2015-03-21 23:00",2640526b36025c9a3fc6e8a9e7ccd5d4,121.0,90.0,52.0,112.0,66.0,0.783,0.748,14.0,106.0,58.0,94.0,191.0,174.0,52.0,49.0
0004030766a6afbbe1fa7ec07874d340,"2013-12-13 23:00",62f2b6f468c40c07fb9f7690a2c9eed3,92.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75.0,99.0,NULL,68.0
0004030a528a2205267fd64242d251b7,"2015-11-10 10:00",08c6448051f48b969df649a99d7cd19a,184.0,NULL,NULL,2.0,NULL,0.1,NULL,2.0,NULL,NULL,NULL,NULL,NULL,NULL,139.0
000404ce89b3c783de93d9f28cb3a014,"2015-06-03 19:00",4b3d64db14b9b3da3e00ca4ca28c44c5,59.0,2.0,4.0,21.0,17.0,0.3,0.392,108.0,178.0,125.0,125.0,67.0,96.0,37.0,24.0
00040cf3b762b2a774fd32d83abc6006,"2015-06-21 23:00",1868e743178743db4ce73e3199efd516,65.0,4.6,NULL,14.3,NULL,0.8,NULL,143.1,NULL,NULL,NULL,86.5,78.4,NULL,47.0
0004113ba3dc098ef6f6e5eb515d870a,"2014-12-23 15:00",ea5670fea5cf6016724692ab185eb112,298.0,116.0,77.0,131.0,70.0,4.548,3.647,11.0,28.0,7.0,26.0,335.0,208.0,248.0,134.0
0004162027101bbbdcbe41425d143543,"2015-10-18 15:00",8cf2d7cc2d9d68db2101c4e4c3f41617,52.0,13.0,22.0,13.0,52.0,1.023,1.637,53.0,179.0,43.0,164.0,53.0,175.0,16.0,41.0
000420d314376ca565c5287b960fd3ee,"2016-01-04 03:00",45b0c2f0220f0930d7b7a43699f77cab,65.0,11.0,19.0,40.0,69.0,0.9,2.363,22.0,34.0,6.0,23.0,NULL,NULL,47.0,194.0
00042947903ccc2180b41e37506fdde4,"2014-10-22 21:00",9714170e764eb6812410330304d93f56,66.0,17.1,NULL,55.8,NULL,0.8,NULL,44.1,NULL,NULL,NULL,94.0,81.8,NULL,47.4
000429b0cc7a2d1a4646e5d056c52124,"2016-01-21 16:00",7207375a257b4188772d495cc5d04888,155.0,0.147,NULL,0.072,NULL,4.537,NULL,0.012,NULL,0.01,NULL,0.167,0.114,NULL,0.081
00042e853bfc62d981e82b8c6b1798ae,"2015-10-27 02:00",f632f95d2d4e98a688b96c52f4d382ca,21.0,2.0,2.0,11.0,24.0,0.2,0.357,50.0,51.0,49.0,49.0,21.0,67.0,7.0,24.0
00042fdde5fff46b0acca7782f2eaa2d,"2014-10-17 18:00",ea9531ec8ed0593c322df9c227c5c9fb,121.0,16.2,NULL,150.7,NULL,1.0,NULL,53.7,NULL,NULL,NULL,182.7,175.3,NULL,91.5
000434db0f9028ba5f2d7b8ee097fa9b,"2013-09-13 23:00",1b519ba13e08483e3bc23d82dd5992cf,212.0,79.0,NULL,94.0,NULL,2.097,NULL,20.0,NULL,43.875,NULL,283.0,NULL,162.0,NULL
000436a9c2dcc09438d97928058d3e40,"2016-03-22 07:00",9523c5868dd33bcfbbdb48997cbe349f,220.0,0.171,NULL,0.106,NULL,4.039,NULL,0.009,NULL,0.024,NULL,0.283,0.213,0.17,0.115
00043857881ed2bcf78df14fe39950f3,"2015-01-21 06:00",45b0c2f0220f0930d7b7a43699f77cab,22.0,29.0,47.0,31.0,72.0,0.6,1.563,36.0,42.0,30.0,30.0,19.0,84.0,15.0,65.0
00043a08bb73076e0289c3394a5a607b,"2014-03-27 22:00",bfc9970e9804e2a5bef8bf8e043e3215,202.0,56.0,NULL,53.0,NULL,1.677,NULL,46.0,NULL,40.875,NULL,235.0,NULL,152.0,NULL
00043a974319cc1d944f612fd579d5cc,"2016-01-02 05:00",822852320f81161885a3354af5769aad,0.0,52.0,NULL,79.0,NULL,2.0,NULL,7.0,NULL,NULL,NULL,355.0,269.48,250.0,197.68
